,Date,Return_5d,Return_20d,Return_60d,Realized_Volatility,Z_Score,Ticker
AAPL,2022-01-03,,,,,,AAPL
AAPL,2022-01-04,,,,,,AAPL
AAPL,2022-01-05,,,,,,AAPL
AAPL,2022-01-06,,,,,,AAPL
AAPL,2022-01-07,,,,,,AAPL
AAPL,2022-01-10,-0.05395279909733863,,,,,AAPL
AAPL,2022-01-11,-0.025709470964650594,,,,,AAPL
AAPL,2022-01-12,0.003487338460237188,,,,,AAPL
AAPL,2022-01-13,0.0011048173480758816,,,,,AAPL
AAPL,2022-01-14,0.00522768088329828,,,,,AAPL
AAPL,2022-01-18,-0.0138801348203611,,,,,AAPL
AAPL,2022-01-19,-0.050548235920644946,,,,,AAPL
AAPL,2022-01-20,-0.06278119142420546,,,,,AAPL
AAPL,2022-01-21,-0.056797877719568124,,,,,AAPL
AAPL,2022-01-24,-0.06615833518227854,,,,,AAPL
AAPL,2022-01-25,-0.05901084205144258,,,,,AAPL
AAPL,2022-01-26,-0.03934310419030773,,,,,AAPL
AAPL,2022-01-27,-0.032156189603857355,,,,,AAPL
AAPL,2022-01-28,0.048765393194909246,,,,,AAPL
AAPL,2022-01-31,0.08142548747406853,,,,0.7275254768605564,AAPL
AAPL,2022-02-01,0.09281523378230849,-0.040657084608828775,,0.3304894922399798,0.8198199205200726,AAPL
AAPL,2022-02-02,0.10113351024956851,-0.02148008106316257,,0.3294584428697285,1.0967068701177745,AAPL
AAPL,2022-02-03,0.08591882117222371,-0.011548123639372299,,0.32077497440982067,0.6295700925563984,AAPL
AAPL,2022-02-04,0.013383606916208102,0.0035442879554530293,,0.3150500805422867,0.5733678949946613,AAPL
AAPL,2022-02-07,-0.01659962302704565,-0.0016917562620698545,,0.31541852046519964,0.45246804452935924,AAPL
AAPL,2022-02-08,0.002535791520455355,0.01662539469865809,,0.3221042827944278,0.9492962362500958,AAPL
AAPL,2022-02-09,0.003779461223038405,0.008136862419189983,,0.31799120122805474,1.1639687870712467,AAPL
AAPL,2022-02-10,-0.003242842367076726,-0.01817746475015536,,0.32926549102244884,0.5159841773670201,AAPL
AAPL,2022-02-11,-0.02175289485579701,-0.019369123428073065,,0.33018736077884714,-0.04171554943063737,AAPL
AAPL,2022-02-14,-0.016194790078229993,-0.022966766659055837,,0.32954751151297124,0.03295827718441413,AAPL
AAPL,2022-02-15,-0.01166853689994174,0.01890540820224129,,0.3329406595327506,0.6680726053180036,AAPL
AAPL,2022-02-16,-0.021159433074984024,0.039342171221590894,,0.32269446945030006,0.5705159020484714,AAPL
AAPL,2022-02-17,-0.018824196393218418,0.02787151325624193,,0.33062576820679535,-0.09020677425939044,AAPL
AAPL,2022-02-18,-0.007946105902951417,0.03142121587141533,,0.32888076555566664,-0.4226744322702235,AAPL
AAPL,2022-02-22,-0.027001386196258803,0.01800124956566984,,0.3354922630351485,-1.017657262050005,AAPL
AAPL,2022-02-23,-0.07361530990336296,0.003091653970812791,,0.34659546162530425,-1.8273342364836616,AAPL
AAPL,2022-02-24,-0.05685312806520482,0.020397940131740233,,0.3514109889158568,-1.435760650848913,AAPL
AAPL,2022-02-25,-0.023862954955133464,0.03667911171025673,,0.3535327237716385,-1.2007747294694717,AAPL
AAPL,2022-02-28,-0.013030394378110266,-0.029352610923277678,,0.25485441055405017,-1.0521391886338671,AAPL
AAPL,2022-03-01,-0.0068162177570051385,-0.0650651911919441,,0.23564844894239606,-1.3107878405080893,AAPL
AAPL,2022-03-02,0.040544672622422784,-0.044887329142719534,,0.2502579470957204,-0.5377395394974616,AAPL
AAPL,2022-03-03,0.021445238173191994,-0.05344755446315452,,0.24784168057045441,-0.5337014632665191,AAPL
AAPL,2022-03-04,-0.01019126593119346,-0.055072976735187074,,0.24921117370964235,-1.1023604149987947,AAPL
AAPL,2022-03-07,-0.03524696486006618,-0.07593234361462342,,0.2601977012773101,-1.7069883835430082,AAPL
AAPL,2022-03-08,-0.035293964677467926,-0.08283820729605607,,0.2616687824831813,-1.8017191660090768,AAPL
AAPL,2022-03-09,-0.021674006647550925,-0.06795192711990627,,0.2853039271168024,-0.6606639310062153,AAPL
AAPL,2022-03-10,-0.04638157070232751,-0.10074882857146872,,0.29389633604326254,-1.4891117845132817,AAPL
AAPL,2022-03-11,-0.05172503972397924,-0.1010341600374357,,0.29416435187988804,-2.0092531796212287,AAPL
AAPL,2022-03-14,-0.05448843259147196,-0.10685484926462585,,0.2994433507765814,-2.299180444239881,AAPL
AAPL,2022-03-15,-0.014926270304602363,-0.08165561763508722,,0.3234815423152251,-1.3428190839854741,AAPL
AAPL,2022-03-16,-0.02061972380423338,-0.07639336282809028,,0.3304032954886022,-0.4858677164582574,AAPL
AAPL,2022-03-17,0.013247438334175632,-0.06913957527184755,,0.3323757008294132,-0.2011032722161917,AAPL
AAPL,2022-03-18,0.05978126600403533,-0.02901482846623815,,0.3359426368768068,0.6022185422832387,AAPL
AAPL,2022-03-21,0.09799505713357548,-0.011476123781710368,,0.3363491107098712,0.9666356173674098,AAPL
